name,price,alcohol_percentage,vegetarian,GF,image,days,spicy
Doron's Jachnun | Tel Aviv,25.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/8c27744e-6916-11ea-98e9-0a58647e1a0b_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,30.0,150,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/86b78a12-fc57-11e8-8b42-0a5864600c82_Taqueria_29.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,45.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/e7178a06-c8cb-11e9-b780-0a58646007ad_Taqueria_12.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,21.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/be264056-c8cb-11e9-9b24-0a586467c8d2_Taqueria_17.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,34.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/c4e829ba-079f-11e9-82f6-0a58646089e5______________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,28.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/cab8be2a-c8cb-11e9-bba2-0a5864600e77_Taqueria_27.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,38.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/4163a3f0-c8cc-11e9-8206-0a5864688c38_Taqueria_14.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,38.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/4bed6d6a-c8cc-11e9-a203-0a586467cb90_Taqueria_13.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/14b33acc-c8cd-11e9-8ef3-0a5864691005_Taqueria_8.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/831b4674-60b8-11eb-9204-021d66e5a2fd_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/45ded57e-cf27-11e9-9a32-0a5864691f6e____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,49.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/0179c3e8-6725-11eb-9890-c6886067db63______________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/38b5b214-cf27-11e9-b896-0a5864691095_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,53.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/29fa1234-c8cd-11e9-9a70-0a5864600579_Taqueria_9.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/38e32eca-c8cd-11e9-8ab5-0a586467c8d3_Taqueria_10.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,47.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c295fa2-cf27-11e9-883e-0a586469dc32_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,44.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/d3e7a474-c8cc-11e9-b655-0a586467cb90_Taqueria_5.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,45.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c295fa2-cf27-11e9-883e-0a586469dc32_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,44.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/0e4db584-6725-11eb-9dfc-e60cebce37c9_______________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/89b8df3e-c8cd-11e9-8b3f-0a5864690336_Taqueria_0.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/d6f8578c-60b8-11eb-9b0b-3e911b238979____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,53.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/95e98272-c8cd-11e9-b0f7-0a5864600579_Taqueria_4.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,49.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/89b8df3e-c8cd-11e9-8b3f-0a5864690336_Taqueria_0.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/c62c88d8-60b8-11eb-84bc-62ff6c3ecb66__________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,47.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/bb1d4996-60b8-11eb-ae2f-f296aa3643ae_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,44.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/00b4d9f0-7064-11eb-9196-b24b1ec9e13a_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,44.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/ebff8c8a-7063-11eb-9f3e-e29619256e96_____________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,47.0,0,True,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/be245584-7063-11eb-a9bb-ea1c3fe8000a__________________________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,21.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/130e5b4e-07a2-11e9-a646-0a586460d733_______.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,24.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/fd5aa046-07a1-11e9-993f-0a58646080cb_______.jpeg,"[1, 2, 3, 4, 5, 6, 7]",True
Taqueria,26.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/5c0d6217b15e7a000a1f03ab/77344522-6725-11eb-9741-5e29c77088fd__________.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
Taqueria,32.0,0,False,False,https://wolt-menu-images-cdn.wolt.com/menu-images/a03af412-c8ce-11e9-8c6b-0a5864691005_Taqueria_15.jpeg,"[1, 2, 3, 4, 5, 6, 7]",False
